age,income,loan_amount,loan_term_months,credit_score,employment_years,existing_loans_count,debt_to_income_ratio,loan_purpose,home_ownership,marital_status,loan_default
24,63268.78,18834.12,48,709.0,14.0,2,0.474,medical,rent,divorced,0
51,85304.34,11084.8,60,599.0,12.0,3,0.369,home_improvement,rent,married,1
47,23946.72,18773.94,48,,10.0,2,0.177,business,rent,single,1
38,38060.5,10853.61,36,726.0,4.0,5,0.293,business,mortgage,single,1
38,48388.04,8103.07,24,680.0,0.0,0,0.076,education,rent,married,0
55,91301.22,20108.69,36,688.0,10.0,5,0.325,home_improvement,rent,married,1
24,70086.57,19358.29,12,602.0,24.0,4,0.292,personal,rent,married,0
48,78811.71,23213.54,36,688.0,7.0,4,0.24,personal,mortgage,married,1
29,44477.1,37672.77,36,718.0,5.0,0,0.542,education,mortgage,single,1
24,44848.35,20495.61,36,705.0,10.0,0,0.158,home_improvement,mortgage,single,1
42,73060.65,22365.74,36,723.0,18.0,2,0.419,personal,own,married,1
60,66048.94,8301.95,48,786.0,6.0,1,0.626,home_improvement,mortgage,married,0
50,74877.3,6417.83,60,750.0,6.0,4,0.471,business,own,single,1
51,61621.92,32245.47,48,685.0,3.0,5,0.316,business,mortgage,married,1
49,70006.59,9688.68,48,592.0,10.0,2,0.161,business,rent,married,1
52,67846.14,8604.5,36,635.0,6.0,4,0.129,home_improvement,own,single,1
41,78999.81,17648.11,12,664.0,25.0,0,0.262,medical,mortgage,single,0
26,79526.15,17188.27,48,699.0,,4,0.224,medical,mortgage,married,0
54,35842.3,9877.44,36,644.0,11.0,0,0.219,business,rent,married,1
39,24549.17,15255.24,36,610.0,2.0,4,0.274,personal,rent,divorced,1
41,83031.42,29064.38,36,591.0,2.0,2,0.306,personal,mortgage,single,0
35,86379.05,10746.06,60,556.0,10.0,2,0.388,business,rent,married,0
28,46628.79,5456.95,48,662.0,14.0,1,0.147,personal,mortgage,married,0
58,31522.96,26483.34,36,570.0,16.0,2,0.224,business,rent,married,1
52,66782.63,22430.67,48,605.0,9.0,5,0.298,personal,mortgage,single,1
46,81755.09,12415.33,36,650.0,10.0,4,0.293,home_improvement,rent,single,0
37,97356.7,3760.5,36,580.0,8.0,2,0.577,education,rent,married,1
53,74293.36,11298.39,36,708.0,16.0,1,0.353,personal,rent,single,0
42,58309.1,17507.66,36,736.0,21.0,3,0.094,home_improvement,own,single,0
38,48923.65,28491.05,48,639.0,1.0,4,0.379,medical,mortgage,divorced,1
39,65206.12,8670.76,12,647.0,14.0,1,0.396,personal,own,single,0
30,59613.24,17239.32,48,720.0,20.0,4,0.302,medical,mortgage,divorced,0
24,46728.78,24076.3,36,626.0,20.0,5,0.15,personal,mortgage,married,0
43,101877.6,2000.0,48,621.0,17.0,5,0.566,personal,,married,0
56,97133.03,27304.08,48,770.0,16.0,3,0.17,education,own,single,0
23,85448.88,7357.94,48,746.0,21.0,1,0.413,home_improvement,own,married,0
55,48424.69,20987.96,48,725.0,11.0,1,0.348,medical,mortgage,married,1
54,80390.35,20220.15,60,749.0,17.0,4,0.404,personal,rent,divorced,1
32,76513.28,27761.28,36,532.0,9.0,2,0.559,personal,mortgage,single,1
46,72965.82,22958.32,48,782.0,13.0,0,0.399,education,rent,single,1
27,87493.97,2000.0,48,709.0,3.0,4,0.242,education,rent,divorced,0
51,76436.68,10936.99,24,756.0,10.0,0,0.475,home_improvement,mortgage,single,0
49,78320.26,19243.85,36,709.0,4.0,5,0.232,business,own,married,0
35,76464.31,16245.18,36,684.0,7.0,2,0.343,education,rent,single,0
23,71134.25,22298.5,36,659.0,13.0,2,0.139,business,rent,single,0
59,32895.0,25104.3,36,708.0,15.0,0,0.175,personal,own,married,1
38,66505.18,23476.07,36,657.0,29.0,1,0.327,education,rent,married,0
56,54988.54,16071.53,48,745.0,0.0,5,0.372,business,rent,married,0
48,41962.86,2000.0,24,561.0,27.0,3,0.082,personal,mortgage,married,1
52,95272.7,13900.67,48,639.0,10.0,5,0.39,medical,,married,0
51,96121.92,21747.31,36,833.0,22.0,5,0.205,home_improvement,mortgage,divorced,0
28,89465.97,8185.97,48,633.0,21.0,0,0.499,medical,mortgage,single,1
35,69593.84,23681.47,24,662.0,30.0,2,0.271,medical,rent,single,0
39,89311.25,26175.54,36,614.0,3.0,5,0.163,medical,rent,single,1
40,65216.96,19141.8,12,705.0,29.0,2,0.331,business,mortgage,married,0
22,68650.35,2000.0,48,625.0,1.0,3,0.192,business,own,single,0
42,45317.52,6497.2,36,666.0,27.0,3,0.498,home_improvement,rent,married,0
